source,question_id,subject,question,question_type,answer_options,num_options,question_length
EVS-v187,v187,POLITICS AND SOCIETY,Are immigrants a strain on a country's welfare system?,Agreement,"['Major Strain', 'Some Strain', 'Neutral', 'Not a Strain', 'Help Economy']",5,54
EVS-v188,v188,POLITICS AND SOCIETY,Should immigrants maintain their distinct customs and traditions?,Agreement,"['Should Maintain', 'Better Maintain', 'Neutral', 'Better Adapt', 'Should Adapt']",5,65
EVS-v201,v201,ENVIRONMENT,There are more important things to do in life than protect the environment,Agreement,"['Strongly Agree', 'Agree', 'Neither Agree nor Disagree', 'Disagree', 'Strongly Disagree']",5,74
EVS-v203,v203,ENVIRONMENT,Many of the claims about environmental threats are exaggerated,Agreement,"['Strongly Agree', 'Agree', 'Neither Agree nor Disagree', 'Disagree', 'Strongly Disagree']",5,62
EVS-v205,v205,POLITICS AND SOCIETY,Should governments have the right to keep people under video surveillance in public areas?,Agreement,"['Definitely should', 'Probably should', 'Probably should not', 'Definitely should not']",4,90
EVS-v206,v206,POLITICS AND SOCIETY,Should governments have the right to monitor all emails and internet information?,Agreement,"['Definitely should', 'Probably should', 'Probably should not', 'Definitely should not']",4,81
EVS-v207,v207,POLITICS AND SOCIETY,Should governments have the right to collect information about anyone without their knowledge?,Agreement,"['Definitely should', 'Probably should', 'Probably should not', 'Definitely should not']",4,94
EVS-v221,v221,POLITICS AND SOCIETY,How important is eliminating big inequalities in income between citizens?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,73
EVS-v222,v222,POLITICS AND SOCIETY,How important is guaranteeing that basic needs are met for all?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,63
EVS-v223,v223,POLITICS AND SOCIETY,How important is recognizing people on their merits?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,52
EVS-v224,v224,POLITICS AND SOCIETY,How important is protecting against terrorism?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,46
EVS-v3,v3,PERCEPTIONS OF LIFE,How important are friends and acquaintances in life?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,52
EVS-v36,v36,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How much do you trust people of another religion?,HowWell,"['Trust Completely', 'Trust Somewhat', 'Do Not Trust Very Much', 'Do Not Trust at All']",4,49
EVS-v57,v57,RELIGION,Do you believe in God?,Agreement,"['Yes', 'No']",2,22
EVS-v58,v58,RELIGION,Do you believe in life after death?,Agreement,"['Yes', 'No']",2,35
EVS-v59,v59,RELIGION,Do you believe in hell?,Agreement,"['Yes', 'No']",2,23
EVS-v61,v61,RELIGION,Do you believe in re-incarnation?,Agreement,"['Yes', 'No']",2,33
EVS-v62,v62,RELIGION,Which statement comes closest to your beliefs about God/spirit/life force?,Agreement,"['Personal God', 'Spirit/life force', ""Don't know"", 'No spirit/God']",4,74
EVS-v65,v65,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",How important is faithfulness for a successful marriage?,Importance,"['Very Important', 'Rather Important', 'Not Very Important']",3,56
EVS-v66,v66,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",How important is an adequate income for a successful marriage?,Importance,"['Very Important', 'Rather Important', 'Not Very Important']",3,62
EVS-v67,v67,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",How important is good housing for a successful marriage?,Importance,"['Very Important', 'Rather Important', 'Not Very Important']",3,56
EVS-v68,v68,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",How important is sharing household chores for a successful marriage?,Importance,"['Very Important', 'Rather Important', 'Not Very Important']",3,68
EVS-v69,v69,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",How important are children for a successful marriage?,Importance,"['Very Important', 'Rather Important', 'Not Very Important']",3,53
EVS-v70,v70,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",How important is having time for one's own friends and hobbies for a successful marriage?,Importance,"['Very Important', 'Rather Important', 'Not Very Important']",3,89
EVS-v73,v73,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",A job is alright but what most women really want is a home and children,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,71
EVS-v74,v74,"SOCIAL VALUES, ATTITUDES & STEREOTYPES","All in all, family life suffers when the woman has a full-time job",Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,66
EVS-v75,v75,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",A man's job is to earn money; a woman's job is to look after the home and family,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,80
EVS-v85,v85,PERCEPTIONS OF LIFE,How important is good manners?,Importance,"['Important', 'Not Important']",2,30
WVS-4 (1999-2002),V100,WORK,Work is a duty towards society,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,30
WVS-4 (1999-2002),V101,WORK,People should not have to work if they don't want to,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,52
WVS-4 (1999-2002),V102,WORK,"Work should always come first, even if it means less spare time",Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,63
WVS-4 (1999-2002),V103,"SOCIAL VALUES, ATTITUDES & STEREOTYPES","Imagine two secretaries, of the same age, doing practically the same job. One finds out that the other earns considerably more than she does. The better paid secretary, however, is quicker, more efficient and more reliable at her job. is it fair or not fair that one secretary is paid more than the other?",Agreement,"['Fair', 'Not fair']",2,305
WVS-4 (1999-2002),V110,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",A woman has to have children in order to be fulfilled or is this not necessary?,Agreement,"['Needs children', 'Not necessary']",2,79
WVS-4 (1999-2002),V111,"SOCIAL VALUES, ATTITUDES & STEREOTYPES","""Marriage is an out-dated institution""",Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,38
WVS-4 (1999-2002),V113,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",One of my main goals in life has been to make my parents proud,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,62
WVS-4 (1999-2002),V114,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",I make a lot of effort to live up to what my friends expect,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,59
WVS-4 (1999-2002),V115,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",A working mother can establish just as warm and secure a relationship with her children as a mother who does not work,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,117
WVS-4 (1999-2002),V116,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Being a housewife is just as fulfilling as working for pay,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,58
WVS-4 (1999-2002),V117,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Both the husband and wife should contribute to household income,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,63
WVS-4 (1999-2002),V118,"SOCIAL VALUES, ATTITUDES & STEREOTYPES","On the whole, men make better political leaders than women do",Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,61
WVS-4 (1999-2002),V119,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",A university education is more important for a boy than for a girl,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,66
WVS-4 (1999-2002),V13,"SOCIAL VALUES, ATTITUDES & STEREOTYPES","Which statement is more accurate: (A) Regardless of what the qualities and faults of one's parents are, one must always love and respect them, or (B) One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes?",Agreement,"['Tend to agree with statement A', 'Tend to agree with statement B']",2,260
WVS-4 (1999-2002),V132,SCIENCE & TECHNOLOGY,"In the long run, the scientific advances we are making will help or harm mankind?",GoodOrBad,"['Will help', 'Will harm', 'Some of each']",3,81
WVS-4 (1999-2002),V133,POLITICS AND SOCIETY,"How interested you are in politics: Very interested, somewhat interested, not very interested, or not at all interested?",Concern,"['Very interested', 'Somewhat interested', 'Not very interested', 'Not at all interested']",4,120
WVS-4 (1999-2002),V14,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",What about parents' responsibilities to their children?,Agreement,"[""Parents' duty is to do their best for their children even at the expense of their own well-being"", 'Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children', 'Neither']",3,55
WVS-4 (1999-2002),V147,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in the churches?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,38
WVS-4 (1999-2002),V148,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in the armed forces?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,42
WVS-4 (1999-2002),V15,PERCEPTIONS OF LIFE,How important is independence?,Importance,"['Important', 'Not Important']",2,30
WVS-4 (1999-2002),V150,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in television?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,36
WVS-4 (1999-2002),V151,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in labor unions?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,38
WVS-4 (1999-2002),V153,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in the government in your capital?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,56
WVS-4 (1999-2002),V154,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in political parties?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,43
WVS-4 (1999-2002),V155,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in parliament?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,36
WVS-4 (1999-2002),V156,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in the civil service?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,43
WVS-4 (1999-2002),V157,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in major companies?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,41
WVS-4 (1999-2002),V158,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in the environmental protection movement?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,63
WVS-4 (1999-2002),V159,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in the women's movement?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,46
WVS-4 (1999-2002),V16,PERCEPTIONS OF LIFE,How important is hard work?,Importance,"['Important', 'Not Important']",2,27
WVS-4 (1999-2002),V160,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in the european union?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,44
WVS-4 (1999-2002),V164,POLITICS AND SOCIETY,Is having a strong leader who does not have to bother with parliament and elections as a way of governing a country good?,GoodOrBad,"['Very Good', 'Good', 'Bad', 'Very Bad']",4,121
WVS-4 (1999-2002),V165,POLITICS AND SOCIETY,"Is having experts, not government, make decisions according to what they think is best for the country as a way of governing a country good?",GoodOrBad,"['Very Good', 'Good', 'Bad', 'Very Bad']",4,140
WVS-4 (1999-2002),V166,POLITICS AND SOCIETY,Is having the army rule as a way of governing a country good?,GoodOrBad,"['Very Good', 'Good', 'Bad', 'Very Bad']",4,61
WVS-4 (1999-2002),V17,PERCEPTIONS OF LIFE,How important is feeling of responsibility?,Importance,"['Important', 'Not Important']",2,43
WVS-4 (1999-2002),V174,POLITICS AND SOCIETY,"How satisfied are you with the way the people now in national office are handling the country's affairs? you are very satisfied, fairly satisfied, fairly dissatisfied or very dissatisfied?",PositiveNegative,"['Very satisfied', 'Fairly satisfied', 'Fairly dissatisfied', 'Very dissatisfied']",4,188
WVS-4 (1999-2002),V175,POLITICS AND SOCIETY,"This country is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people?",Agreement,"['Run by a few big interests', 'Run for all the people']",2,123
WVS-4 (1999-2002),V18,PERCEPTIONS OF LIFE,How important is imagination?,Importance,"['Important', 'Not Important']",2,29
WVS-4 (1999-2002),V181a,GLOBAL ISSUES,"A country cannot solve its environmental problems by itself, but needs to collaborate with international environmental organizations",Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,132
WVS-4 (1999-2002),V181c,GLOBAL ISSUES,"A country cannot solves its problems of unemployment by itself, but needs to collaborate with international economic organizations",Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,130
WVS-4 (1999-2002),V182,RELIGION,"How often, if at all, about the meaning and purpose of life: Often, sometimes, rarely, or never?",Frequency,"['Often', 'Sometimes', 'Rarely', 'Never']",4,96
WVS-4 (1999-2002),V186,RELIGION,"Independently of whether you go to church or not, you are a religious person, not a religious person, or a convinced atheist?",Quantity,"['A religious person', 'Not a religious person', 'A convinced atheist']",3,125
WVS-4 (1999-2002),V187,RELIGION,"Generally speaking, the churches in a country are giving adequate answers to the moral problems and needs of the individual?",HowWell,"['Yes', 'No']",2,124
WVS-4 (1999-2002),V188,RELIGION,"Generally speaking, the churches in a country are giving adequate answers to the problems of family life?",HowWell,"['Yes', 'No']",2,105
WVS-4 (1999-2002),V189,RELIGION,"Generally speaking, the churches in a country are giving adequate answers to people's spiritual needs?",HowWell,"['Yes', 'No']",2,102
WVS-4 (1999-2002),V19,PERCEPTIONS OF LIFE,How important is tolerance and respect for other people?,Importance,"['Important', 'Not Important']",2,56
WVS-4 (1999-2002),V190,RELIGION,"Generally speaking, the churches in a country are giving adequate answers to the social problems facing our country today?",HowWell,"['Yes', 'No']",2,122
WVS-4 (1999-2002),V196,RELIGION,How important is God in life? Please use this scale to indicate where 10 means very important and 1 means not at all important.?,Importance,"['Not at all', 'Very']",2,128
WVS-4 (1999-2002),V20,PERCEPTIONS OF LIFE,"How important is thrift, saving money and things?",Importance,"['Important', 'Not Important']",2,49
WVS-4 (1999-2002),V200,RELIGION,How much Politicians who do not believe in God are unfit for public office?,Agreement,"['Agree Strongly', 'Agree', 'Neither agree or disagree', 'Disagree', 'Strongly disagree']",5,75
WVS-4 (1999-2002),V201,RELIGION,How much Religious leaders should not influence how people vote in elections?,Agreement,"['Agree Strongly', 'Agree', 'Neither agree or disagree', 'Disagree', 'Strongly disagree']",5,77
WVS-4 (1999-2002),V202,RELIGION,How much It would be better for a country if more people with strong religious beliefs held public office?,Agreement,"['Agree Strongly', 'Agree', 'Neither agree or disagree', 'Disagree', 'Strongly disagree']",5,106
WVS-4 (1999-2002),V203,RELIGION,How much Religious leaders should not influence government decisions?,Agreement,"['Agree Strongly', 'Agree', 'Neither agree or disagree', 'Disagree', 'Strongly disagree']",5,69
WVS-4 (1999-2002),V21,PERCEPTIONS OF LIFE,"How important is determination, perseverance?",Importance,"['Important', 'Not Important']",2,45
WVS-4 (1999-2002),V22,PERCEPTIONS OF LIFE,How important is religious faith?,Importance,"['Important', 'Not Important']",2,33
WVS-4 (1999-2002),V23,PERCEPTIONS OF LIFE,How important is unselfishness?,Importance,"['Important', 'Not Important']",2,31
WVS-4 (1999-2002),V24,PERCEPTIONS OF LIFE,How important is obedience?,Importance,"['Important', 'Not Important']",2,27
WVS-4 (1999-2002),V25,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",Most people can be trusted or that you need to be very careful in dealing with people?,HowWell,"['Most people can be trusted', 'Need to be very careful']",2,86
WVS-4 (1999-2002),V26,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP","Most people would try to take advantage of others if they got a chance, or would they try to be fair?",HowWell,"['Would take advantage', 'Would try to be fair']",2,101
WVS-4 (1999-2002),V32,POLITICS AND SOCIETY,How often do people discuss political matters?,Frequency,"['Very Often', 'Often', 'Rarely', 'Never']",4,46
WVS-4 (1999-2002),V78,"SOCIAL VALUES, ATTITUDES & STEREOTYPES","When jobs are scarce, men should have more right to a job than women",Agreement,"['Agree', 'Neither', 'Disagree']",3,68
WVS-4 (1999-2002),V79,"SOCIAL VALUES, ATTITUDES & STEREOTYPES","When jobs are scarce, employers should give priority to people of a country over immigrants",Agreement,"['Agree', 'Neither', 'Disagree']",3,91
WVS-4 (1999-2002),V86,WORK,Is good pay important in a job?,Importance,"['Important', 'Not Important']",2,31
WVS-4 (1999-2002),V87,WORK,Is not too much pressure important in a job?,Importance,"['Important', 'Not Important']",2,44
WVS-4 (1999-2002),V88,WORK,Is good job security important in a job?,Importance,"['Important', 'Not Important']",2,40
WVS-4 (1999-2002),V89,WORK,Is a job respected by people in general important in a job?,Importance,"['Important', 'Not Important']",2,59
WVS-4 (1999-2002),V91,WORK,Is an opportunity to use initiative important in a job?,Importance,"['Important', 'Not Important']",2,55
WVS-4 (1999-2002),V92,WORK,Is generous holidays important in a job?,Importance,"['Important', 'Not Important']",2,40
WVS-4 (1999-2002),V93,WORK,Is a job in which you feel you can achieve something important in a job?,Importance,"['Important', 'Not Important']",2,72
WVS-4 (1999-2002),V94,WORK,Is a responsible job important in a job?,Importance,"['Important', 'Not Important']",2,40
WVS-4 (1999-2002),V95,WORK,Is a job that is interesting important in a job?,Importance,"['Important', 'Not Important']",2,48
WVS-4 (1999-2002),V96,WORK,Is a job that meets one's abilities important in a job?,Importance,"['Important', 'Not Important']",2,55
WVS-4 (1999-2002),V97,WORK,"To fully develop your talents, you need to have a job",Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,53
WVS-4 (1999-2002),V98,WORK,It is humiliating to receive money without having to work for it,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,64
WVS-4 (1999-2002),V99,WORK,People who don't work turn lazy,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,31
WVS-4 (1999-2002),v10,PERCEPTIONS OF LIFE,How important is service to others in life?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,43
WVS-4 (1999-2002),v33,ENVIRONMENT,People would give part of their income if they were certain that the money would be used to prevent environmental pollution,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,123
WVS-4 (1999-2002),v34,ENVIRONMENT,People would agree to an increase in taxes if the extra money were used to prevent environmental pollution,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,106
WVS-4 (1999-2002),v35,ENVIRONMENT,"The government should reduce environmental pollution, but it should not cost individuals any money",Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,98
WVS-4 (1999-2002),v4,PERCEPTIONS OF LIFE,How important is family in life?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,32
WVS-4 (1999-2002),v5,PERCEPTIONS OF LIFE,How important are friends in life?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,34
WVS-4 (1999-2002),v6,PERCEPTIONS OF LIFE,How important is leisure time in life?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,38
WVS-4 (1999-2002),v7,PERCEPTIONS OF LIFE,How important are politics in life?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,35
WVS-4 (1999-2002),v8,PERCEPTIONS OF LIFE,How important is work in life?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,30
WVS-4 (1999-2002),v9,PERCEPTIONS OF LIFE,How important is religion in life?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,34
