question_id,question_var_id,answer_var_id,question,answer_options,num_scale,scale_type,question_type,subject,source,original_answering_options
3,1,1,Is competition good or harmful?,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v105,"['Very Good', 'Good', 'Neutral', 'Harmful', 'Very Harmful']"
3,1,2,Is competition good or harmful?,"['Strongly agree', 'Moderately agree', 'Moderately disagree', 'Strongly disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v105,"['Very Good', 'Good', 'Neutral', 'Harmful', 'Very Harmful']"
3,1,3,Is competition good or harmful?,"['Absolutely agree', 'Partly agree', 'Partly disagree', 'Absolutely disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v105,"['Very Good', 'Good', 'Neutral', 'Harmful', 'Very Harmful']"
3,1,4,Is competition good or harmful?,"['Completely agree', 'Largely agree', 'Largely disagree', 'Completely disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v105,"['Very Good', 'Good', 'Neutral', 'Harmful', 'Very Harmful']"
3,1,5,Is competition good or harmful?,"['Totally agree', 'Mostly agree', 'Neither agree nor disagree', 'Mostly disagree', 'Totally disagree']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v105,"['Very Good', 'Good', 'Neutral', 'Harmful', 'Very Harmful']"
4,1,1,Should incomes be made more equal or should there be greater incentives for individual effort?,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v106,"['Much More Equal', 'More Equal', 'Neutral', 'Greater Incentives', 'Much Greater Incentives']"
4,1,2,Should incomes be made more equal or should there be greater incentives for individual effort?,"['Strongly agree', 'Moderately agree', 'Moderately disagree', 'Strongly disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v106,"['Much More Equal', 'More Equal', 'Neutral', 'Greater Incentives', 'Much Greater Incentives']"
4,1,3,Should incomes be made more equal or should there be greater incentives for individual effort?,"['Absolutely agree', 'Partly agree', 'Partly disagree', 'Absolutely disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v106,"['Much More Equal', 'More Equal', 'Neutral', 'Greater Incentives', 'Much Greater Incentives']"
4,1,4,Should incomes be made more equal or should there be greater incentives for individual effort?,"['Completely agree', 'Largely agree', 'Largely disagree', 'Completely disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v106,"['Much More Equal', 'More Equal', 'Neutral', 'Greater Incentives', 'Much Greater Incentives']"
4,1,5,Should incomes be made more equal or should there be greater incentives for individual effort?,"['Totally agree', 'Mostly agree', 'Neither agree nor disagree', 'Mostly disagree', 'Totally disagree']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v106,"['Much More Equal', 'More Equal', 'Neutral', 'Greater Incentives', 'Much Greater Incentives']"
5,1,1,Should private ownership or government ownership of business be increased?,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v107,"['Strongly Private', 'Private', 'Neutral', 'Government', 'Strongly Government']"
5,1,2,Should private ownership or government ownership of business be increased?,"['Strongly agree', 'Moderately agree', 'Moderately disagree', 'Strongly disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v107,"['Strongly Private', 'Private', 'Neutral', 'Government', 'Strongly Government']"
5,1,3,Should private ownership or government ownership of business be increased?,"['Absolutely agree', 'Partly agree', 'Partly disagree', 'Absolutely disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v107,"['Strongly Private', 'Private', 'Neutral', 'Government', 'Strongly Government']"
5,1,4,Should private ownership or government ownership of business be increased?,"['Completely agree', 'Largely agree', 'Largely disagree', 'Completely disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v107,"['Strongly Private', 'Private', 'Neutral', 'Government', 'Strongly Government']"
5,1,5,Should private ownership or government ownership of business be increased?,"['Totally agree', 'Mostly agree', 'Neither agree nor disagree', 'Mostly disagree', 'Totally disagree']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v107,"['Strongly Private', 'Private', 'Neutral', 'Government', 'Strongly Government']"
6,1,1,Would less importance placed on work in our lives be a good thing or bad thing?,"['Excellent', 'Good', 'Bad', 'Terrible']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,GoodOrBad,POLITICS AND SOCIETY,EVS-v113,"['Good', 'Bad', ""Don't Mind""]"
6,1,2,Would less importance placed on work in our lives be a good thing or bad thing?,"['Extremely good', 'Fairly good', 'Fairly bad', 'Extremely bad']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,GoodOrBad,POLITICS AND SOCIETY,EVS-v113,"['Good', 'Bad', ""Don't Mind""]"
6,1,3,Would less importance placed on work in our lives be a good thing or bad thing?,"['Outstanding', 'Adequate', 'Poor', 'Very poor']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,GoodOrBad,POLITICS AND SOCIETY,EVS-v113,"['Good', 'Bad', ""Don't Mind""]"
6,1,4,Would less importance placed on work in our lives be a good thing or bad thing?,"['Superb', 'Decent', 'Inferior', 'Awful']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,GoodOrBad,POLITICS AND SOCIETY,EVS-v113,"['Good', 'Bad', ""Don't Mind""]"
6,1,5,Would less importance placed on work in our lives be a good thing or bad thing?,"['Very good', 'Somewhat good', 'Neither good nor bad', 'Somewhat bad', 'Very bad']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-bipolar,GoodOrBad,POLITICS AND SOCIETY,EVS-v113,"['Good', 'Bad', ""Don't Mind""]"
7,1,1,Would greater respect for authority be a good thing or bad thing?,"['Excellent', 'Good', 'Bad', 'Terrible']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,GoodOrBad,POLITICS AND SOCIETY,EVS-v114,"['Good', 'Bad', ""Don't Mind""]"
7,1,2,Would greater respect for authority be a good thing or bad thing?,"['Extremely good', 'Fairly good', 'Fairly bad', 'Extremely bad']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,GoodOrBad,POLITICS AND SOCIETY,EVS-v114,"['Good', 'Bad', ""Don't Mind""]"
7,1,3,Would greater respect for authority be a good thing or bad thing?,"['Outstanding', 'Adequate', 'Poor', 'Very poor']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,GoodOrBad,POLITICS AND SOCIETY,EVS-v114,"['Good', 'Bad', ""Don't Mind""]"
7,1,4,Would greater respect for authority be a good thing or bad thing?,"['Superb', 'Decent', 'Inferior', 'Awful']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,GoodOrBad,POLITICS AND SOCIETY,EVS-v114,"['Good', 'Bad', ""Don't Mind""]"
7,1,5,Would greater respect for authority be a good thing or bad thing?,"['Very good', 'Somewhat good', 'Neither good nor bad', 'Somewhat bad', 'Very bad']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-bipolar,GoodOrBad,POLITICS AND SOCIETY,EVS-v114,"['Good', 'Bad', ""Don't Mind""]"
8,1,1,How confident are you in the education system?,"['Very well', 'Pretty well', 'Not too well', 'Not at all well']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v117,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
8,1,2,How confident are you in the education system?,"['Extremely well', 'Quite well', 'Not very well', 'Poorly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v117,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
8,1,3,How confident are you in the education system?,"['Exceptionally well', 'Adequately', 'Inadequately', 'Very poorly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v117,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
8,1,4,How confident are you in the education system?,"['Outstandingly', 'Reasonably well', 'Somewhat poorly', 'Terribly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v117,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
8,1,5,How confident are you in the education system?,"['Exceptionally well', 'Very well', 'Moderately well', 'Slightly well', 'Not well at all']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,HowWell,Political Trust,EVS-v117,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
9,1,1,How confident are you in the social security system?,"['Very well', 'Pretty well', 'Not too well', 'Not at all well']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v123,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
9,1,2,How confident are you in the social security system?,"['Extremely well', 'Quite well', 'Not very well', 'Poorly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v123,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
9,1,3,How confident are you in the social security system?,"['Exceptionally well', 'Adequately', 'Inadequately', 'Very poorly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v123,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
9,1,4,How confident are you in the social security system?,"['Outstandingly', 'Reasonably well', 'Somewhat poorly', 'Terribly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v123,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
9,1,5,How confident are you in the social security system?,"['Exceptionally well', 'Very well', 'Moderately well', 'Slightly well', 'Not well at all']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,HowWell,Political Trust,EVS-v123,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
10,1,1,How confident are you in the United Nations?,"['Very well', 'Pretty well', 'Not too well', 'Not at all well']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v125,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
10,1,2,How confident are you in the United Nations?,"['Extremely well', 'Quite well', 'Not very well', 'Poorly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v125,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
10,1,3,How confident are you in the United Nations?,"['Exceptionally well', 'Adequately', 'Inadequately', 'Very poorly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v125,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
10,1,4,How confident are you in the United Nations?,"['Outstandingly', 'Reasonably well', 'Somewhat poorly', 'Terribly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v125,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
10,1,5,How confident are you in the United Nations?,"['Exceptionally well', 'Very well', 'Moderately well', 'Slightly well', 'Not well at all']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,HowWell,Political Trust,EVS-v125,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
11,1,1,How confident are you in social media?,"['Very well', 'Pretty well', 'Not too well', 'Not at all well']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v132,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
11,1,2,How confident are you in social media?,"['Extremely well', 'Quite well', 'Not very well', 'Poorly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v132,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
11,1,3,How confident are you in social media?,"['Exceptionally well', 'Adequately', 'Inadequately', 'Very poorly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v132,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
11,1,4,How confident are you in social media?,"['Outstandingly', 'Reasonably well', 'Somewhat poorly', 'Terribly']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,HowWell,Political Trust,EVS-v132,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
11,1,5,How confident are you in social media?,"['Exceptionally well', 'Very well', 'Moderately well', 'Slightly well', 'Not well at all']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,HowWell,Political Trust,EVS-v132,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']"
12,1,1,How essential is it that governments tax the rich and subsidize the poor as a characteristic of democracy?,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v133,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
12,1,2,How essential is it that governments tax the rich and subsidize the poor as a characteristic of democracy?,"['Of great importance', 'Of some importance', 'Of little importance', 'Of no importance']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v133,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
12,1,3,How essential is it that governments tax the rich and subsidize the poor as a characteristic of democracy?,"['Highly important', 'Quite important', 'Somewhat unimportant', 'Completely unimportant']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v133,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
12,1,4,How essential is it that governments tax the rich and subsidize the poor as a characteristic of democracy?,"['Extremely important', 'Moderately important', 'Minimally important', 'Not important whatsoever']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v133,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
12,1,5,How essential is it that governments tax the rich and subsidize the poor as a characteristic of democracy?,"['Extremely important', 'Fairly important', 'Moderately important', 'Slightly important', 'Not important at all']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,Importance,POLITICS AND SOCIETY,EVS-v133,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
13,1,1,How essential is it that religious authorities interpret the laws as a characteristic of democracy?,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v134,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
13,1,2,How essential is it that religious authorities interpret the laws as a characteristic of democracy?,"['Of great importance', 'Of some importance', 'Of little importance', 'Of no importance']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v134,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
13,1,3,How essential is it that religious authorities interpret the laws as a characteristic of democracy?,"['Highly important', 'Quite important', 'Somewhat unimportant', 'Completely unimportant']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v134,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
13,1,4,How essential is it that religious authorities interpret the laws as a characteristic of democracy?,"['Extremely important', 'Moderately important', 'Minimally important', 'Not important whatsoever']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v134,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
13,1,5,How essential is it that religious authorities interpret the laws as a characteristic of democracy?,"['Extremely important', 'Fairly important', 'Moderately important', 'Slightly important', 'Not important at all']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,Importance,POLITICS AND SOCIETY,EVS-v134,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
14,1,1,How essential is it that people choose their leaders in free elections as a characteristic of democracy?,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v135,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
14,1,2,How essential is it that people choose their leaders in free elections as a characteristic of democracy?,"['Of great importance', 'Of some importance', 'Of little importance', 'Of no importance']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v135,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
14,1,3,How essential is it that people choose their leaders in free elections as a characteristic of democracy?,"['Highly important', 'Quite important', 'Somewhat unimportant', 'Completely unimportant']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v135,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
14,1,4,How essential is it that people choose their leaders in free elections as a characteristic of democracy?,"['Extremely important', 'Moderately important', 'Minimally important', 'Not important whatsoever']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v135,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
14,1,5,How essential is it that people choose their leaders in free elections as a characteristic of democracy?,"['Extremely important', 'Fairly important', 'Moderately important', 'Slightly important', 'Not important at all']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,Importance,POLITICS AND SOCIETY,EVS-v135,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
15,1,1,How essential is it that people receive state aid for unemployment as a characteristic of democracy?,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v136,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
15,1,2,How essential is it that people receive state aid for unemployment as a characteristic of democracy?,"['Of great importance', 'Of some importance', 'Of little importance', 'Of no importance']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v136,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
15,1,3,How essential is it that people receive state aid for unemployment as a characteristic of democracy?,"['Highly important', 'Quite important', 'Somewhat unimportant', 'Completely unimportant']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v136,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
15,1,4,How essential is it that people receive state aid for unemployment as a characteristic of democracy?,"['Extremely important', 'Moderately important', 'Minimally important', 'Not important whatsoever']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v136,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
15,1,5,How essential is it that people receive state aid for unemployment as a characteristic of democracy?,"['Extremely important', 'Fairly important', 'Moderately important', 'Slightly important', 'Not important at all']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,Importance,POLITICS AND SOCIETY,EVS-v136,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
16,1,1,How essential is it that the army takes over when government is incompetent as a characteristic of democracy?,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v137,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
16,1,2,How essential is it that the army takes over when government is incompetent as a characteristic of democracy?,"['Of great importance', 'Of some importance', 'Of little importance', 'Of no importance']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v137,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
16,1,3,How essential is it that the army takes over when government is incompetent as a characteristic of democracy?,"['Highly important', 'Quite important', 'Somewhat unimportant', 'Completely unimportant']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v137,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
16,1,4,How essential is it that the army takes over when government is incompetent as a characteristic of democracy?,"['Extremely important', 'Moderately important', 'Minimally important', 'Not important whatsoever']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v137,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
16,1,5,How essential is it that the army takes over when government is incompetent as a characteristic of democracy?,"['Extremely important', 'Fairly important', 'Moderately important', 'Slightly important', 'Not important at all']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,Importance,POLITICS AND SOCIETY,EVS-v137,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
17,1,1,How essential is it that civil rights protect people from state oppression as a characteristic of democracy?,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v138,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
17,1,2,How essential is it that civil rights protect people from state oppression as a characteristic of democracy?,"['Of great importance', 'Of some importance', 'Of little importance', 'Of no importance']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v138,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
17,1,3,How essential is it that civil rights protect people from state oppression as a characteristic of democracy?,"['Highly important', 'Quite important', 'Somewhat unimportant', 'Completely unimportant']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v138,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
17,1,4,How essential is it that civil rights protect people from state oppression as a characteristic of democracy?,"['Extremely important', 'Moderately important', 'Minimally important', 'Not important whatsoever']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v138,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
17,1,5,How essential is it that civil rights protect people from state oppression as a characteristic of democracy?,"['Extremely important', 'Fairly important', 'Moderately important', 'Slightly important', 'Not important at all']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,Importance,POLITICS AND SOCIETY,EVS-v138,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
18,1,1,How essential is it that the state makes people's incomes equal as a characteristic of democracy?,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Importance,POLITICS AND SOCIETY,EVS-v139,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']"
